ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
0620;Lakitelek;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1663;
2979;Méhtelek;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;806;
0965;Ilk;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;780;
1269;Sződ;Váci;Pest;Pest;Közép-Magyarország;1992;
2017;Tiszabezdéd;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1143;
2854;Kovácsvágás;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;964;
2776;Kisszékely;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1186;
3408;Tormásliget;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;2276;
0881;Felsőszentmárton;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;1371;
1394;Hévízgyörk;Aszódi;Pest;Pest;Közép-Magyarország;1981;
1364;Egerszólát;Egri;Heves;Észak-Magyarország;Alföld és Észak;1846;
0280;Enying;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;1580;
2230;Hatvan;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;2335;
1116;Szentpéterúr;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;696;
2917;Nagytőke;Szentesi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1568;
0677;Markotabödöge;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1599;
0303;Döröske;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1366;
0278;Nemesgulács;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1440;
2903;Mezőszilas;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;1469;
2422;Kovácshida;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1059;
2481;Dévaványa;Gyomaendrődi;Békés;Dél-Alföld;Alföld és Észak;1431;
1198;Murony;Békési;Békés;Dél-Alföld;Alföld és Észak;1443;
3031;Zalalövő;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1526;
1900;Belvárdgyula;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;1322;
3356;Apaj;Ráckevei;Pest;Pest;Közép-Magyarország;1875;
1885;Lókút;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;1573;
3043;Görcsöny;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1487;
1522;Győrzámoly;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;2671;
3199;Súr;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1897;
0717;Sorkifalud;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;1787;
0371;Tiszadorogma;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1582;
2921;Baj;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;2236;
2998;Magosliget;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;673;
3077;Hosszúvíz;Marcali;Somogy;Dél-Dunántúl;Dunántúl;1097;
1011;Újkenéz;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1056;
3344;Bedő;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;850;
3045;Miskolc;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1880;
3261;Fót;Dunakeszi;Pest;Pest;Közép-Magyarország;2158;
0949;Szirmabesenyő;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;2128;
0387;Nyírpilis;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;454;
0762;Alsótold;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1584;
3345;Gyomaendrőd;Gyomaendrődi;Békés;Dél-Alföld;Alföld és Észak;1339;
0631;Nagyrév;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1312;
0260;Zalaszentiván;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1714;
0968;Cégénydányád;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1237;
1418;Várvölgy;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;1366;
0936;Aggtelek;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1285;
3369;Kisfalud;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1367;
2628;Mezőhék;Mezőtúri;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1368;
0972;Győrvár;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;1716;
3060;Kaskantyú;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1127;
2637;Magyargencs;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1606;
0264;Alibánfa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1633;
0347;Meződ;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;1403;
0970;Gömörszőlős;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1378;
0740;Pásztó;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1781;
1220;Zók;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;1405;
0658;Gálosfa;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1011;
1227;Nyírmada;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;970;
2437;Bár;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1379;
1983;Szilágy;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1255;
0852;Sirok;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;1594;
0310;Kétsoprony;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;1630;
0355;Balatonvilágos;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1897;
2175;Nemesszalók;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1878;
1523;Egyházasfalu;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1650;
2934;Tiszajenő;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1557;
0619;Barbacs;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1612;
0981;Kisgörbő;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;835;
0678;Kemse;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;913;
2902;Kunfehértó;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1595;
1267;Kisvarsány;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1370;
3139;Tyukod;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1129;
3216;Sásd;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;1414;
0976;Békés;Békési;Békés;Dél-Alföld;Alföld és Észak;1389;
3108;Székely;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;904;
1517;Alcsútdoboz;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;1849;
3051;Tornaszentjakab;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;716;
0945;Márfa;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1387;
