"","JARAS_NEV","REGIO_NEV","MEGYE_NEV","VON_IDO","TYWM101","TYWM102","TYWM103","TYWM104","TYWM105","TYWM106","TYWM107","TYWM302","TYWM303","TYWM304","TYWM305","TYWM201","TYWM202","TYWM203","TYWM204","TYWM205","TYWM301","TYWM401","TYWM402","TYWM403","TYWM404","TYWM405","TYWM406","TYWF103","TYWW701","TYWW702","TYWW801","TYWW802","TYWW803","TYWW804","TYWW403","TYWW404","TYWW405","TYWW601","TYWW602","TYWW101","TYWW102","TYWW103","TYWW104","TYWW603","TYWW201","TYWW202","TYWW203","TYWW204","TYWW604","TYWW605","TYWW606","TYWW607","TYWW007","TYWW401","TYWW402","TYWW307","TYWW308","TYWW309","TYWW301","TYWW302","TYWW303","TYWW304","TYWW305","TYWW306","TYWX002","TYWG102","TYWJ111","TYWH301","TYWK001","TYWH204","TYWH203","TYWA002","TYWK002","TYWJ109","TYWK101","TYWH201","TYWH108","TYWH202","TYWA001","TYWB001","TYWH102","TYWH104","TYWH103","TYWP010","TYWP011","TYWH106","TYWB101","TYWB107","TYWP009","TYWH107","TYWL001","TYWJ107","TYWH105","TYWJ110","TYWH001","TYWL002","TYWP007","TYWG004","TYWG009","TYWP002","TYWP001","TYWG010","TYWG005","TYWG101","TYWP006","TYWC001","TYWF001","TYWL003","TYWG002","TYWB108","TYWL004","TYWL008","TYWG006","TYWQ001","TYWH003","TYWP005","TYWG007","TYWP004","TYWP003","TYWP008","TYWB201","TYWP012","TYWB301","TYWB305","TYWL005","TYWQ002","TYWH002","TYWQ003","TYWL007","TYWR001","TYWG008","TYWL006","TYWG001","TYWX001","TYWH101","TYWH004","TYWH005","TYWJ105","TYWJ106","TYWJ013","TYWJ012","TYWJ011","TYWR003","TYWA201","TYWA102","TYWA101","TYWZ006","TYWZ007","TYWZ008","TYWJ001","TYWJ002","TYWZ004","TYWZ005","TYWZ003","TYWZ009","TYWR002","TYWZ002","TYWZ001","TYWJ104","TYWO041","TYWO042","TYWO043","TYWO044","TYWO045","TYWO046","TYWO047","TYWO048","TYWO049","TYWO050","TYWO051","TYWO052","TYWO065","TYWO066","TYWO067","TYWO068","TYWO069","TYWO070","TYWO053","TYWO054","TYWO055","TYWO056","TYWO057","TYWO058","TYWO059","TYWO060","TYWO061","TYWO062","TYWO063","TYWO064","TYWO034","TYWO071","TYWO072","TYWO035","TYWO036","TYWO037","TYWO038","TYWO039","TYWO040","TYWO073","TYWO074","TYWO075","TYWO076","TYWJ101","TYWN005","TYWJ113","TYWE015","TYWE016","TYWE020","TYWE018","TYWE017","TYWE012","TYWE019","TYWE021","TYWE013","TYWE014","TYWI001","TYWI002","TYWI003","TYWI004","TYWI005","TYWL009","TYWL010"
"1","Dunakeszi","Pest","Pest",2010,25.66401038,3.65749314,7.02966643,0.27214348,3.30394932,43.17205045,5.646725,3.30841627,23.26379705,31.6962784,28.62119584,79.96904118,2.14813137,7.26061522,10.49543039,7.62975787,2.04279818,82.78276481,17.73837911,13.80675806,8.76865762,1.53232561,3.66151542,48.44379114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Gyáli","Pest","Pest",2010,12.63518073,27.66907771,5.20469789,0.38055833,3.8753613,54.00683999,4.86859145,1.65629372,55.70006402,0.33364654,0.43296609,90.69568514,0.33708308,2.77241129,5.84462811,6.16904669,32.51259725,91.4062344,14.35615857,14.40149238,6.12596354,NA,6.89300741,39.66612318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Vecsési","Pest","Pest",2010,2.10331735,4.59728369,3.90293308,0.36385855,6.47627278,22.14363298,3.16995604,1.67600363,1.80908226,0.87753189,2.07166212,91.17299629,0.36716193,0.71526607,7.50334158,6.88047905,60.67562443,89.81267072,28.40233345,18.24107475,14.86964821,9.99520454,3.17043748,45.75506349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Hajdúhadházi","Észak-Alföld","Hajdú-Bihar",2010,4.70511532,13.95673079,38.92415947,3.23743376,9.03030287,79.71558158,1.96734406,5.38247342,12.17437444,0.33240165,4.32489441,86.26475774,1.38137245,5.7070073,5.59327976,1.84883076,63.9617056,91.39014599,4.15658277,60.26012541,15.71018492,0.16625894,0.27788994,25.04097614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Érdi","Pest","Pest",2010,23.60642729,4.08060227,32.31346638,0.38841979,1.3665514,64.54981538,14.77459178,4.07272657,19.47292953,19.37596249,45.23997541,72.65043282,2.14380394,10.79499197,14.23315549,11.41826401,6.01421111,95.77402637,30.60085715,19.95453265,11.9043369,3.68297604,9.0848927,36.83149176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Szigetszentmiklósi","Pest","Pest",2010,12.85473149,4.16387749,6.390186,0.56752039,2.22213032,30.63101089,3.07221085,12.74996651,16.40685423,12.20632489,11.45418786,90.77983456,0.89896867,1.29858518,6.69308136,6.62176467,28.38295606,92.55342395,18.91744783,27.51658305,9.88939496,0.68532692,7.25366981,42.69574954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Oroszlányi","Közép-Dunántúl","Komárom-Esztergom",2010,3.70213888,4.27153607,8.33946119,1.2394988,2.1398296,21.79290257,2.85906876,10.71042749,7.72159062,6.2966202,10.09825608,93.06170213,0.33336386,0.04326172,6.1129557,9.72586245,19.98559597,99.83421006,20.39173213,57.39711,13.29804188,2.824716,1.0473998,37.02724147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pilisvörösvári","Pest","Pest",2010,0.83350263,2.52167299,43.21116624,0.88771418,0.75896175,50.44743731,9.34459749,7.9080562,1.73700921,13.2640314,43.27728136,87.61713705,0.95195939,4.59094831,6.71208827,12.12904274,16.22227066,89.41697319,18.06480515,8.68249999,47.90632344,4.77205602,3.57283525,33.79468778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Tolnai","Dél-Dunántúl","Tolna",2010,5.12584937,3.10476231,7.69341825,4.35714872,1.81879276,23.22491858,3.10631856,1.84008582,0.55868804,1.72834822,5.12410481,94.94793723,1.21082549,1.01080954,2.51390566,11.29261267,11.98057969,99.60149939,28.76474736,47.07521288,11.6514772,2.62021367,2.89199431,46.03115131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Kemecsei","Észak-Alföld","Szabolcs-Szatmár-Bereg",2010,20.65215506,6.96338825,17.97945628,2.02168079,7.1434709,57.15376567,2.54546414,6.83086007,19.44919664,0.27963559,0.23836172,81.05542074,0.10158598,8.77054027,9.11799007,3.08807106,70.73930551,88.68556575,9.25383079,43.79163047,13.50906428,2.56192291,0.18639628,28.06954002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
